"oris_code","unit_id","facility_name","state","fips_code","ertac_region","fuel_type","gen_capacity_mw","annual_so2_2022_tons","avg_annual_so2_rate_2022","annual_nox_2022_tons","avg_annual_nox_rate_2022","annual_so2_2038_tons","avg_annual_so2_rate_2038","annual_nox_2038_tons","avg_annual_nox_rate_2038","longitude","latitude"
6052,"1","Wansley (6052)","GA","13149","SRSE","Coal",911.161439050854,367.8639835,0.104656055139907,287.8466515,0.0818913956854432,0,NA,0,NA,-85.0345,33.4124
1355,"3","E W Brown","KY","21167","SRCE","Coal",500.535775794602,362.916541500001,0.0603779995375965,287.146588499999,0.0477722412872584,156.628728234709,0.0603779995375964,123.885601971449,0.0477560208963597,-84.7139,37.7889
2490,"20","Arthur Kill","NY","36085","NYCW","Boiler Gas",350.939159778392,2.28292999999999,0.000600037442906267,286.800790499999,0.0753817300377655,2.35318521835069,0.00060003744290626,295.862762641354,0.0754418879406894,-74.2027,40.5915
3456,"1","Newman Power Station","TX","48141","SRSG","Boiler Gas",70.6702785532536,0.825692999999999,0.000600098974217349,286.658274999999,0.208338131458562,0,NA,0,NA,-106.4322,31.9858
10745,"011","Midland Cogeneration Venture","MI","26111","MISE","Combined Cycle Gas",128.172524748006,1.8397815,0.000600044157308053,285.532361499999,0.0931262898558581,0.453864724252728,0.000600044157308052,71.1985849382179,0.0941300185228528,-84.2242,43.5861
54099,"000044","Ticonderoga Mill","NY","36031","CONUS","EGU-Other",61.6115711199514,0,0,284.36845,0.170349210308525,0,0,304.135390393433,0.170572201505541,-73.3961,43.8914
641,"6","Gulf Clean Energy Center","FL","12033","SRSE","Coal",334.338100619447,1.57571099999999,0.000600034257463355,283.5640855,0.107981835175529,0,NA,0,NA,-87.2289,30.5661
26,"3","E C Gaston","AL","01117","SRSE","Boiler Gas",233.035820992155,171.0149235,0.0802914991422353,281.624099499999,0.132222502461529,198.815673359857,0.0802914991422357,326.125048393053,0.131705255429823,-86.4567,33.2442
170,"4","Lake Catherine","AR","05059","MISS","Boiler Gas",689.207386636231,0.732174499999998,0.000600028656013033,281.021814999999,0.23030185012561,0,NA,0,NA,-92.9046,34.4341
55749,"U1","Hardin Generating Station","MT","30003","NWPP","Coal",103.23072527596,231.770879999999,0.0608902789900012,280.9988295,0.0738233255364902,0,NA,0,NA,-107.6,45.7578
56319,"001","Wygen II","WY","56005","RMRG","Coal",111.830458171285,194.658264999998,0.0425846182833121,280.3862645,0.0613389934694856,124.756611450398,0.0425846182833124,179.782473683418,0.0613672327809414,-105.38099,44.29115
10745,"014","Midland Cogeneration Venture","MI","26111","MISE","Combined Cycle Gas",126.783157852734,1.6127215,0.000600045087204237,279.499968499999,0.103993518392458,0.410493485303368,0.000600045087204234,71.3722321138743,0.104329444378588,-84.2242,43.5861
57241,"BFB1","Deerhaven Renewable Energy Center","FL","12001","CONUS","EGU-Other",123.264304913201,16.2427439999998,0.00373042448992219,276.754972499999,0.0635615218168651,17.3220660478763,0.00373042448992248,295.141677343919,0.0635607633706913,-82.3964,29.7675
