"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"17","023","0001",62101,1,39.210857,-87.668297,"WGS84","Outdoor Temperature","1 HOUR",NA,2021-01-27,"Degrees Fahrenheit","None",24,100,27.208333,30,0,NA,"040","INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",62101,1,39.210857,-87.668297,"WGS84","Outdoor Temperature","1 HOUR",NA,2021-01-28,"Degrees Fahrenheit","None",24,100,15.416667,25,14,NA,"040","INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",62101,1,39.210857,-87.668297,"WGS84","Outdoor Temperature","1 HOUR",NA,2021-01-29,"Degrees Fahrenheit","None",24,100,20,32,13,NA,"040","INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",62101,1,39.210857,-87.668297,"WGS84","Outdoor Temperature","1 HOUR",NA,2021-01-30,"Degrees Fahrenheit","None",24,100,31.583333,36,23,NA,"040","INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",62101,1,39.210857,-87.668297,"WGS84","Outdoor Temperature","1 HOUR",NA,2021-01-31,"Degrees Fahrenheit","None",24,100,34.125,37,2,NA,"040","INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",62101,1,39.210857,-87.668297,"WGS84","Outdoor Temperature","1 HOUR",NA,2021-02-01,"Degrees Fahrenheit","None",24,100,29.625,32,14,NA,"040","INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",62101,1,39.210857,-87.668297,"WGS84","Outdoor Temperature","1 HOUR",NA,2021-02-02,"Degrees Fahrenheit","None",24,100,27.833333,34,13,NA,"040","INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",62101,1,39.210857,-87.668297,"WGS84","Outdoor Temperature","1 HOUR",NA,2021-02-03,"Degrees Fahrenheit","None",24,100,27.791667,37,15,NA,"040","INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",62101,1,39.210857,-87.668297,"WGS84","Outdoor Temperature","1 HOUR",NA,2021-02-04,"Degrees Fahrenheit","None",24,100,32.708333,38,17,NA,"040","INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
"17","023","0001",62101,1,39.210857,-87.668297,"WGS84","Outdoor Temperature","1 HOUR",NA,2021-02-05,"Degrees Fahrenheit","None",24,100,28.458333,35,14,NA,"040","INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.","416 S. State St. Hwy 1- West Union","416 S. STATE ST. HWY 1/ WEST UNION","Illinois","Clark","Not in a city",NA,2022-02-07
